TABLE_NAME	COLUMN_NAME	DATATYPE	NULLABLE	ANONYMIZATION	DEFAULT VALUE
HumanResources.Department	DepartmentID	smallint	NOT NULL	Omit	
HumanResources.Department	Name	nvarchar(50)	NOT NULL	Omit	
HumanResources.Department	GroupName	nvarchar(50)	NOT NULL	Omit	
HumanResources.Department	ModifiedDate	datetime	NOT NULL	Omit	
HumanResources.Employee	BusinessEntityID	int	NOT NULL	Random	
HumanResources.Employee	NationalIDNumber	nvarchar(15)	NOT NULL	Omit	
HumanResources.Employee	LoginID	nvarchar(256)	NOT NULL	Omit	
HumanResources.Employee	OrganizationNode	hierarchyid	NULL	Random	
HumanResources.Employee	OrganizationLevel	smallint	NULL	Set Null	
HumanResources.Employee	JobTitle	nvarchar(50)	NOT NULL	Omit	
HumanResources.Employee	BirthDate	date	NOT NULL	Random	
HumanResources.Employee	MaritalStatus	nchar(1)	NOT NULL	RandomPseudonymFromSet	
HumanResources.Employee	Gender	nchar(1)	NOT NULL	RandomFromSet	
HumanResources.Employee	HireDate	date	NOT NULL	Omit	
HumanResources.Employee	SalariedFlag	bit	NOT NULL	RandomPseudonym	
HumanResources.Employee	VacationHours	smallint	NOT NULL	Random	
HumanResources.Employee	SickLeaveHours	smallint	NOT NULL	RandomPseudonym	
HumanResources.Employee	CurrentFlag	bit	NOT NULL	Random	
HumanResources.Employee	rowguid	uniqueidentifier	NOT NULL	Default value	
HumanResources.Employee	ModifiedDate	datetime	NOT NULL	Default value	
HumanResources.EmployeeDepartmentHistory	BusinessEntityID	int	NOT NULL	Omit	
HumanResources.EmployeeDepartmentHistory	DepartmentID	smallint	NOT NULL	Omit	
HumanResources.EmployeeDepartmentHistory	ShiftID	tinyint	NOT NULL	Omit	
HumanResources.EmployeeDepartmentHistory	StartDate	date	NOT NULL	Omit	
HumanResources.EmployeeDepartmentHistory	EndDate	date	NULL	Omit	
HumanResources.EmployeeDepartmentHistory	ModifiedDate	datetime	NOT NULL	Omit	
HumanResources.EmployeePayHistory	BusinessEntityID	int	NOT NULL	Omit	
HumanResources.EmployeePayHistory	RateChangeDate	datetime	NOT NULL	Omit	
HumanResources.EmployeePayHistory	Rate	money	NOT NULL	Omit	
HumanResources.EmployeePayHistory	PayFrequency	tinyint	NOT NULL	Omit	
HumanResources.EmployeePayHistory	ModifiedDate	datetime	NOT NULL	Omit	
HumanResources.JobCandidate	JobCandidateID	int	NOT NULL	Omit	
HumanResources.JobCandidate	BusinessEntityID	int	NOT NULL	Omit	
HumanResources.JobCandidate	Resume	XML(HumanResources.HRResumeSchemaCollection)	NULL	Omit	
HumanResources.JobCandidate	ModifiedDate	datetime	NOT NULL	Omit	
HumanResources.Shift	ShiftID	tinyint	NOT NULL	RandomPseudonymFromSet	
HumanResources.Shift	Name	nvarchar(50)	NOT NULL	RandomFromSet	
HumanResources.Shift	StartTime	time(7)	NOT NULL	RandomPseudonymPerTable	
HumanResources.Shift	EndTime	time(7)	NOT NULL	Default value	getdate()
HumanResources.Shift	ModifiedDate	datetime	NOT NULL	Omit	
Person.Address	AddressID	int	NOT NULL	Omit	
Person.Address	AddressLine1	nvarchar(60)	NOT NULL	Omit	
Person.Address	AddressLine2	nvarchar(60)	NULL	Omit	
Person.Address	City	nvarchar(30)	NOT NULL	Omit	
Person.Address	StateProvinceID	int	NOT NULL	Omit	
Person.Address	PostalCode	nvarchar(15)	NOT NULL	Omit	
Person.Address	SpatialLocation	geography	NULL	Omit	
Person.Address	rowguid	uniqueidentifier	NOT NULL	Omit	
Person.Address	ModifiedDate	datetime	NOT NULL	Omit	
Person.AddressType	AddressTypeID	int	NOT NULL	Omit	
Person.AddressType	Name	nvarchar(50)	NOT NULL	Omit	
Person.AddressType	rowguid	uniqueidentifier	NOT NULL	Omit	
Person.AddressType	ModifiedDate	datetime	NOT NULL	Omit	
Person.BusinessEntity	BusinessEntityID	int	NOT NULL	Omit	
Person.BusinessEntity	rowguid	uniqueidentifier	NOT NULL	Omit	
Person.BusinessEntity	ModifiedDate	datetime	NOT NULL	Omit	
Person.BusinessEntityAddress	BusinessEntityID	int	NOT NULL	Omit	
Person.BusinessEntityAddress	AddressID	int	NOT NULL	Omit	
Person.BusinessEntityAddress	AddressTypeID	int	NOT NULL	Omit	
Person.BusinessEntityAddress	rowguid	uniqueidentifier	NOT NULL	Omit	
Person.BusinessEntityAddress	ModifiedDate	datetime	NOT NULL	Omit	
Person.BusinessEntityContact	BusinessEntityID	int	NOT NULL	Omit	
Person.BusinessEntityContact	PersonID	int	NOT NULL	Omit	
Person.BusinessEntityContact	ContactTypeID	int	NOT NULL	Omit	
Person.BusinessEntityContact	rowguid	uniqueidentifier	NOT NULL	Omit	
Person.BusinessEntityContact	ModifiedDate	datetime	NOT NULL	Omit	
Person.ContactType	ContactTypeID	int	NOT NULL	Omit	
Person.ContactType	Name	nvarchar(50)	NOT NULL	Omit	
Person.ContactType	ModifiedDate	datetime	NOT NULL	Omit	
Person.CountryRegion	CountryRegionCode	nvarchar(3)	NOT NULL	Omit	
Person.CountryRegion	Name	nvarchar(50)	NOT NULL	Omit	
Person.CountryRegion	ModifiedDate	datetime	NOT NULL	Omit	
Person.EmailAddress	BusinessEntityID	int	NOT NULL	Omit	
Person.EmailAddress	EmailAddressID	int	NOT NULL	Omit	
Person.EmailAddress	EmailAddress	nvarchar(50)	NULL	Omit	
Person.EmailAddress	rowguid	uniqueidentifier	NOT NULL	Omit	
Person.EmailAddress	ModifiedDate	datetime	NOT NULL	Omit	
Person.Password	BusinessEntityID	int	NOT NULL	Omit	
Person.Password	PasswordHash	varchar(128)	NOT NULL	Omit	
Person.Password	PasswordSalt	varchar(10)	NOT NULL	Omit	
Person.Password	rowguid	uniqueidentifier	NOT NULL	Omit	
Person.Password	ModifiedDate	datetime	NOT NULL	Omit	
Person.Person	BusinessEntityID	int	NOT NULL	Omit	
Person.Person	PersonType	nchar(2)	NOT NULL	Omit	
Person.Person	NameStyle	NameStyle(bit)	NOT NULL	Omit	
Person.Person	Title	nvarchar(8)	NULL	Omit	
Person.Person	FirstName	nvarchar(50)	NOT NULL	Omit	
Person.Person	MiddleName	nvarchar(50)	NULL	Omit	
Person.Person	LastName	nvarchar(50)	NOT NULL	Omit	
Person.Person	Suffix	nvarchar(10)	NULL	Omit	
Person.Person	EmailPromotion	int	NOT NULL	Omit	
Person.Person	AdditionalContactInfo	XML(Person.AdditionalContactInfoSchemaCollection)	NULL	Omit	
Person.Person	Demographics	XML(Person.IndividualSurveySchemaCollection)	NULL	Omit	
Person.Person	rowguid	uniqueidentifier	NOT NULL	Omit	
Person.Person	ModifiedDate	datetime	NOT NULL	Omit	
Person.PersonPhone	BusinessEntityID	int	NOT NULL	Omit	
Person.PersonPhone	PhoneNumber	nvarchar(25)	NOT NULL	Omit	
Person.PersonPhone	PhoneNumberTypeID	int	NOT NULL	Omit	
Person.PersonPhone	ModifiedDate	datetime	NOT NULL	Omit	
Person.PhoneNumberType	PhoneNumberTypeID	int	NOT NULL	Omit	
Person.PhoneNumberType	Name	nvarchar(50)	NOT NULL	Omit	
Person.PhoneNumberType	ModifiedDate	datetime	NOT NULL	Omit	
Person.StateProvince	StateProvinceID	int	NOT NULL	Omit	
Person.StateProvince	StateProvinceCode	nchar(3)	NOT NULL	Omit	
Person.StateProvince	CountryRegionCode	nvarchar(3)	NOT NULL	Omit	
Person.StateProvince	IsOnlyStateProvinceFlag	bit	NOT NULL	Omit	
Person.StateProvince	Name	nvarchar(50)	NOT NULL	Omit	
Person.StateProvince	TerritoryID	int	NOT NULL	Omit	
Person.StateProvince	rowguid	uniqueidentifier	NOT NULL	Omit	
Person.StateProvince	ModifiedDate	datetime	NOT NULL	Omit	
Production.BillOfMaterials	BillOfMaterialsID	int	NOT NULL	Omit	
Production.BillOfMaterials	ProductAssemblyID	int	NULL	Omit	
Production.BillOfMaterials	ComponentID	int	NOT NULL	Omit	
Production.BillOfMaterials	StartDate	datetime	NOT NULL	Omit	
Production.BillOfMaterials	EndDate	datetime	NULL	Omit	
Production.BillOfMaterials	UnitMeasureCode	nchar(3)	NOT NULL	Omit	
Production.BillOfMaterials	BOMLevel	smallint	NOT NULL	Omit	
Production.BillOfMaterials	PerAssemblyQty	"decimal(8,2)"	NOT NULL	Omit	
Production.BillOfMaterials	ModifiedDate	datetime	NOT NULL	Omit	
Production.Culture	CultureID	nchar(6)	NOT NULL	Omit	
Production.Culture	Name	nvarchar(50)	NOT NULL	Omit	
Production.Culture	ModifiedDate	datetime	NOT NULL	Omit	
Production.Document	DocumentNode	hierarchyid	NOT NULL	Omit	
Production.Document	DocumentLevel	smallint	NULL	Omit	
Production.Document	Title	nvarchar(50)	NOT NULL	Omit	
Production.Document	Owner	int	NOT NULL	Omit	
Production.Document	FolderFlag	bit	NOT NULL	Omit	
Production.Document	FileName	nvarchar(400)	NOT NULL	Omit	
Production.Document	FileExtension	nvarchar(8)	NOT NULL	Omit	
Production.Document	Revision	nchar(5)	NOT NULL	Omit	
Production.Document	ChangeNumber	int	NOT NULL	Omit	
Production.Document	Status	tinyint	NOT NULL	Omit	
Production.Document	DocumentSummary	nvarchar(max)	NULL	Omit	
Production.Document	Document	varbinary(max)	NULL	Omit	
Production.Document	rowguid	uniqueidentifier	NOT NULL	Omit	
Production.Document	ModifiedDate	datetime	NOT NULL	Omit	
Production.Illustration	IllustrationID	int	NOT NULL	Omit	
Production.Illustration	Diagram	XML(.)	NULL	Omit	
Production.Illustration	ModifiedDate	datetime	NOT NULL	Omit	
Production.Location	LocationID	smallint	NOT NULL	Omit	
Production.Location	Name	nvarchar(50)	NOT NULL	Omit	
Production.Location	CostRate	smallmoney	NOT NULL	Omit	
Production.Location	Availability	"decimal(8,2)"	NOT NULL	Omit	
Production.Location	ModifiedDate	datetime	NOT NULL	Omit	
Production.Product	ProductID	int	NOT NULL	Omit	
Production.Product	Name	nvarchar(50)	NOT NULL	Omit	
Production.Product	ProductNumber	nvarchar(25)	NOT NULL	Omit	
Production.Product	MakeFlag	bit	NOT NULL	Omit	
Production.Product	FinishedGoodsFlag	bit	NOT NULL	Omit	
Production.Product	Color	nvarchar(15)	NULL	Omit	
Production.Product	SafetyStockLevel	smallint	NOT NULL	Omit	
