REFERENCING_TABLE	REFERENCING_COLUMN	REFERENCED_TABLE	REFERENCED_COLUMN
Person.Address	StateProvinceID	Person.StateProvince	StateProvinceID
Production.BillOfMaterials	ProductAssemblyID	Production.Product	ProductID
Production.BillOfMaterials	ComponentID	Production.Product	ProductID
Production.BillOfMaterials	UnitMeasureCode	Production.UnitMeasure	UnitMeasureCode
Person.BusinessEntityAddress	AddressID	Person.Address	AddressID
Person.BusinessEntityAddress	AddressTypeID	Person.AddressType	AddressTypeID
Person.BusinessEntityAddress	BusinessEntityID	Person.BusinessEntity	BusinessEntityID
Person.BusinessEntityContact	PersonID	Person.Person	BusinessEntityID
Person.BusinessEntityContact	ContactTypeID	Person.ContactType	ContactTypeID
Person.BusinessEntityContact	BusinessEntityID	Person.BusinessEntity	BusinessEntityID
Sales.CountryRegionCurrency	CountryRegionCode	Person.CountryRegion	CountryRegionCode
Sales.CountryRegionCurrency	CurrencyCode	Sales.Currency	CurrencyCode
Sales.CurrencyRate	FromCurrencyCode	Sales.Currency	CurrencyCode
Sales.CurrencyRate	ToCurrencyCode	Sales.Currency	CurrencyCode
Sales.Customer	PersonID	Person.Person	BusinessEntityID
Sales.Customer	StoreID	Sales.Store	BusinessEntityID
Sales.Customer	TerritoryID	Sales.SalesTerritory	TerritoryID
Production.Document	Owner	HumanResources.Employee	BusinessEntityID
Person.EmailAddress	BusinessEntityID	Person.Person	BusinessEntityID
Person.Employee	BusinessEntityID	Person.Person	BusinessEntityID
Person.EmployeeDepartmentHistory	DepartmentID	HumanResources.Department	DepartmentID
Person.EmployeeDepartmentHistory	BusinessEntityID	HumanResources.Employee	BusinessEntityID
Person.EmployeeDepartmentHistory	ShiftID	HumanResources.Shift	ShiftID
Person.EmployeePayHistory	BusinessEntityID	HumanResources.Employee	BusinessEntityID
Person.JobCandidate	BusinessEntityID	HumanResources.Employee	BusinessEntityID
Person.Password	BusinessEntityID	Person.Person	BusinessEntityID
Person.Person	BusinessEntityID	Person.BusinessEntity	BusinessEntityID
Sales.PersonCreditCard	BusinessEntityID	Person.Person	BusinessEntityID
Sales.PersonCreditCard	CreditCardID	Sales.CreditCard	CreditCardID
Person.PersonPhone	BusinessEntityID	Person.Person	PhoneNumberTypeID
Person.PersonPhone	BusinessEntityID	Person.PhoneNumberType	PhoneNumberTypeID
Production.Product	SizeUnitMeasureCode	Production.UnitMeasure	UnitMeasureCode
Production.Product	WeightUnitMeasureCode	Production.UnitMeasure	UnitMeasureCode
Production.Product	ProductModelID	Production.ProductModel	ProductModelID
